candidate,score,signal_threshold,top_k,hold_days,confidence,full_ann_model,full_ann_ew,full_ann_spy,full_ann_quant,full_excess_vs_quant,full_max_drawdown,full_beta_vs_quant,full_information_ratio_vs_quant,constraints_passed,recent_ann_model,recent_ann_ew,recent_ann_spy,recent_ann_quant
123,-100.54090405559275,0.55,15,10,0.05,0.1256963333556136,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.0180917036699888,-0.31998989602944117,-0.06283462743880006,-0.06091015428517565,False,0.12370003130631435,0.17146495497408254,0.15059382158940426,0.150355157213927
88,-100.55210654151635,0.53,15,15,0.0,0.12354625519764251,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.02024178182795988,-0.3091833171012396,-0.07954788628002643,-0.06957254067147153,False,0.10791428420346216,0.17146495497408254,0.15059382158940426,0.150355157213927
90,-100.55210654151635,0.53,15,15,0.05,0.12354625519764251,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.02024178182795988,-0.3091833171012396,-0.07954788628002643,-0.06957254067147153,False,0.10791428420346216,0.17146495497408254,0.15059382158940426,0.150355157213927
89,-100.55210654151635,0.53,15,15,0.03,0.12354625519764251,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.02024178182795988,-0.3091833171012396,-0.07954788628002643,-0.06957254067147153,False,0.10791428420346216,0.17146495497408254,0.15059382158940426,0.150355157213927
17,-100.56466068020036,0.5,15,15,0.03,0.1270463348728652,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01674170215273718,-0.3370619614323642,-0.07850364006959733,-0.057335847982617746,False,0.1351294087727275,0.17146495497408254,0.15059382158940426,0.150355157213927
26,-100.59530907249167,0.5,20,15,0.03,0.12845361596717564,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01533442105842675,-0.32723933617382217,-0.08129934939618605,-0.05264896523147343,False,0.11884084314313781,0.17146495497408254,0.15059382158940426,0.150355157213927
35,-100.59530907249167,0.5,25,15,0.03,0.12845361596717564,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.01533442105842675,-0.32723933617382217,-0.08129934939618605,-0.05264896523147343,False,0.11884084314313781,0.17146495497408254,0.15059382158940426,0.150355157213927
99,-100.60797176924073,0.53,20,15,0.05,0.12359782686155119,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.020190210164051203,-0.3215433463554447,-0.08097175071724037,-0.069520862251604,False,0.08764689345361876,0.17146495497408254,0.15059382158940426,0.150355157213927
97,-100.60797176924073,0.53,20,15,0.0,0.12359782686155119,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.020190210164051203,-0.3215433463554447,-0.08097175071724037,-0.069520862251604,False,0.08764689345361876,0.17146495497408254,0.15059382158940426,0.150355157213927
98,-100.60797176924073,0.53,20,15,0.03,0.12359782686155119,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.020190210164051203,-0.3215433463554447,-0.08097175071724037,-0.069520862251604,False,0.08764689345361876,0.17146495497408254,0.15059382158940426,0.150355157213927
108,-100.60797176924073,0.53,25,15,0.05,0.12359782686155119,0.1827577629121806,0.13917917385424317,0.1437880370256024,-0.020190210164051203,-0.3215433463554447,-0.08097175071724037,-0.069520862251604,False,0.08764689345361876,0.17146495497408254,0.15059382158940426,0.150355157213927
